user_id,num_compras,Churn_Rate
2,10,0.3846
52,22,0.4615
59,36,0.8462
85,60,0.8462
91,27,0.3846
102,20,0.6154
105,21,0.6154
116,13,0.6154
120,39,0.3846
122,61,0.4615
125,55,0.4615
155,41,0.7692
165,49,0.6923
171,44,0.9231
176,42,0.7692
188,43,0.9231
191,24,0.4615
204,44,0.7692
225,32,0.3077
232,31,0.4615
245,15,0.3077
260,20,0.3846
308,31,0.6154
312,45,0.6923
341,11,0.3077
354,14,0.3077
366,33,0.8462
376,36,0.6923
378,90,0.9231
391,37,0.6923
397,99,0.8462
403,73,0.9231
415,40,0.6923
428,13,0.3846
430,47,0.6154
480,22,0.6154
481,56,0.3846
496,16,0.6154
529,17,0.5385
532,55,0.9231
538,19,0.3846
554,57,0.6923
578,16,0.4615
611,14,0.5385
642,46,0.7692
673,28,0.7692
676,28,0.7692
692,6,0.3077
696,35,0.6154
725,50,0.6923
731,18,0.3077
746,54,0.7692
769,28,0.6154
777,51,0.6923
799,28,0.6923
826,16,0.5385
842,15,0.3846
843,11,0.3846
845,28,0.7692
848,49,0.7692
852,11,0.4615
861,27,0.6923
864,20,0.4615
877,5,0.3077
903,26,0.3846
934,48,0.7692
957,19,0.3077
961,54,0.8462
1006,20,0.3846
1049,41,0.6154
1057,5,0.3846
1160,19,0.6923
1217,59,0.9231
1237,40,0.8462
1265,58,0.7692
1275,57,0.8462
1302,26,0.5385
1330,75,0.9231
1347,71,0.7692
1368,49,0.7692
1378,42,0.6154
1388,16,0.5385
1409,40,0.7692
1456,21,0.7692
1460,28,0.3846
1488,56,0.8462
1513,32,0.5385
1515,26,0.6154
1519,44,0.8462
1541,75,0.8462
1562,33,0.6923
1566,26,0.5385
1576,5,0.3846
1582,38,0.9231
1584,18,0.6154
1614,28,0.9231
1617,27,0.7692
1632,42,0.8462
1680,54,0.8462
1689,17,0.3846
1723,16,0.6923
1752,43,0.7692
1757,53,0.7692
1777,26,0.6154
1783,65,0.7692
1794,6,0.3077
1795,44,0.9231
1831,22,0.5385
1843,16,0.3077
1861,8,0.3846
1870,17,0.3846
1874,43,0.9231
1877,11,0.3846
1884,43,0.7692
1890,43,0.9231
1903,37,0.6154
1928,32,0.6923
1938,14,0.6154
1995,8,0.3077
2062,30,0.6154
2070,24,0.6154
2115,11,0.3077
2135,17,0.4615
2147,50,0.7692
2194,41,0.6154
2195,59,0.7692
2201,84,0.9231
2208,41,0.8462
2233,24,0.5385
2268,19,0.7692
2272,30,0.5385
2302,23,0.4615
2336,21,0.4615
2365,9,0.3077
2412,11,0.5385
2423,26,0.5385
2473,38,0.9231
2519,16,0.3077
2531,59,0.8462
2534,6,0.3846
2540,21,0.6923
2614,20,0.4615
2620,29,0.6154
2632,18,0.6923
2640,38,0.6923
2667,19,0.6923
2687,16,0.3077
2699,17,0.6923
2768,7,0.3846
2799,29,0.5385
2817,33,0.3077
2847,55,0.6923
2849,14,0.6923
2875,28,0.6154
2893,24,0.4615
2900,35,0.6923
2983,16,0.3846
3001,91,0.8462
3077,18,0.6923
3082,60,0.7692
3085,40,0.6154
3169,13,0.5385
3204,13,0.4615
3265,18,0.3846
3285,41,0.6154
3308,47,0.6923
3323,48,0.9231
3342,9,0.3077
3347,23,0.6923
3350,30,0.6154
3430,35,0.6923
3438,15,0.6154
3512,48,0.9231
3559,12,0.4615
3569,20,0.6923
3661,18,0.3077
3709,27,0.3846
3724,17,0.3846
3752,26,0.7692
3796,5,0.3077
3838,11,0.5385
3874,38,0.5385
3952,15,0.3077
4055,54,0.9231
4150,5,0.3846
4177,17,0.5385
4299,40,0.9231
4438,35,0.8462
4453,30,0.5385
4485,36,0.5385
4531,15,0.3077
4765,15,0.7692
4769,35,0.6154
4992,33,0.9231
5046,73,0.6923
5098,20,0.5385
5129,7,0.3077
5178,13,0.3846
5192,38,0.6154
5257,92,0.5385
5291,83,0.9231
5314,37,0.6923
5317,25,0.4615
5450,62,0.6923
5467,78,0.9231
5532,23,0.3077
5548,50,0.6154
5567,49,0.9231
5604,70,0.9231
5609,16,0.5385
5622,8,0.3077
5709,71,0.9231
5727,35,0.6154
5742,14,0.4615
5838,54,0.6154
5847,71,0.9231
5869,33,0.3846
5891,7,0.3846
5910,18,0.6154
5916,10,0.3846
5938,12,0.6154
5955,55,0.6154
5958,40,0.3846
5988,38,0.3846
5989,21,0.3846
6044,39,0.4615
6056,16,0.3077
6063,23,0.3846
6066,29,0.7692
6070,15,0.3846
6075,17,0.5385
6084,13,0.5385
6088,43,0.3846
6090,41,0.6154
6303,62,0.9231
6482,43,0.6154
6625,13,0.3846
6672,11,0.3077
6702,14,0.3846
6785,9,0.3846
6828,94,0.9231
6829,30,0.8462
6865,14,0.3077
6880,29,0.7692
6932,40,0.6154
6946,6,0.3077
6980,20,0.7692
6982,63,0.7692
7003,14,0.5385
7026,25,0.7692
7047,31,0.9231
7097,94,0.8462
7116,12,0.4615
7149,36,0.6923
7206,85,0.9231
7210,41,0.4615
7232,6,0.3077
7268,33,0.6154
7274,25,0.4615
7314,50,0.6923
7326,36,0.6154
7367,55,0.9231
7395,16,0.4615
7418,27,0.6154
7435,31,0.6154
7474,18,0.3846
7505,12,0.3077
7548,9,0.4615
7570,52,0.9231
7716,13,0.4615
7736,7,0.4615
7802,20,0.7692
7818,42,0.7692
8093,40,0.6923
8101,16,0.4615
8155,58,0.7692
8175,106,0.9231
8207,40,0.9231
8268,26,0.6923
8270,11,0.3846
8310,19,0.5385
8318,31,0.6154
8688,14,0.4615
8857,20,0.5385
8867,23,0.7692
8890,73,0.9231
8922,7,0.3077
8953,19,0.3846
9002,22,0.4615
9008,26,0.3077
9015,50,0.9231
9095,28,0.6923
9097,37,0.5385
9133,23,0.6154
9139,29,0.3077
9140,27,0.6923
9237,79,0.8462
9265,21,0.4615
9284,48,0.5385
9309,17,0.3077
9376,31,0.4615
9474,13,0.5385
9514,18,0.5385
9528,74,0.9231
9547,37,0.6154
9653,57,0.6923
9657,11,0.3846
9667,12,0.3077
9715,22,0.6154
9781,69,0.7692
9877,6,0.3846
9883,25,0.4615
9906,30,0.3846
9918,8,0.3077
9971,8,0.3077
9981,40,0.7692
9992,33,0.3846
10074,17,0.5385
10177,23,0.6154
10284,57,0.6923
10378,20,0.3077
10456,47,0.9231
10513,45,0.7692
10589,39,0.8462
10636,14,0.3077
10679,31,0.9231
10756,13,0.3077
10785,60,0.9231
10928,9,0.3846
10948,20,0.3077
11074,34,0.6154
11092,30,0.6923
11108,66,0.8462
11144,13,0.3077
11197,19,0.3077
11262,33,0.6154
11277,28,0.6154
11385,106,0.9231
11401,23,0.5385
11522,19,0.4615
11552,9,0.3077
11582,28,0.6923
11597,34,0.8462
11620,33,0.9231
11630,32,0.7692
11636,28,0.8462
11676,8,0.3077
11688,16,0.4615
11694,26,0.4615
11728,47,0.9231
11767,12,0.4615
11815,41,0.6923
11911,36,0.3077
11930,31,0.3846
11932,14,0.3077
11946,17,0.6923
11983,18,0.4615
12022,59,0.8462
12023,28,0.8462
12024,22,0.3846
12091,16,0.3077
12102,32,0.6923
12137,57,0.9231
12143,36,0.6923
12162,27,0.5385
12179,15,0.4615
12186,46,0.7692
12202,12,0.5385
12270,7,0.3077
12289,27,0.8462
12301,10,0.3077
12338,59,0.4615
12380,31,0.6923
12406,83,0.6923
12510,5,0.3077
12544,9,0.3077
12571,48,0.3077
12596,11,0.3077
12718,19,0.5385
12750,24,0.4615
12796,6,0.3077
12830,9,0.3846
12840,9,0.4615
12853,12,0.5385
12871,6,0.3077
12901,11,0.3077
12937,42,0.6923
12974,33,0.9231
13002,26,0.3077
13040,7,0.3077
13051,23,0.6923
13069,15,0.5385
13088,48,0.6923
13102,15,0.5385
13110,18,0.3846
13122,26,0.4615
13133,37,0.8462
13243,17,0.4615
13258,20,0.3077
13289,20,0.3846
13313,77,0.8462
13323,18,0.5385
13328,25,0.7692
13355,76,0.5385
13360,25,0.6154
13381,8,0.4615
13387,32,0.6154
13511,24,0.4615
13564,28,0.6923
13576,11,0.3846
13594,61,0.9231
13659,14,0.4615
13710,31,0.4615
13752,27,0.6154
13844,43,0.7692
13847,23,0.6923
13862,24,0.5385
13932,16,0.3077
14009,65,0.9231
14037,30,0.8462
14043,17,0.4615
14060,42,0.8462
14198,37,0.6154
14247,32,0.5385
14357,16,0.4615
14371,9,0.3077
14383,14,0.4615
14430,42,0.6923
14431,36,0.5385
14470,32,0.4615
14474,36,0.5385
14485,40,0.9231
14508,44,0.7692
14565,21,0.6154
14611,15,0.3846
14659,13,0.3846
14698,12,0.3846
14789,5,0.3077
14821,60,0.7692
14872,17,0.5385
14880,29,0.9231
14949,24,0.6923
14979,84,0.9231
14984,5,0.3077
15004,83,0.9231
15082,25,0.6154
15120,68,0.9231
15162,21,0.4615
15222,19,0.6154
15243,62,0.7692
15244,16,0.6154
15251,16,0.4615
15269,30,0.8462
15415,37,0.6154
15444,18,0.4615
15496,28,0.4615
15500,50,0.8462
15533,8,0.3077
15537,7,0.3077
15546,74,0.9231
15592,22,0.3846
15634,10,0.4615
15642,28,0.6923
15751,34,0.6923
15764,19,0.6923
15774,9,0.3077
15788,26,0.6154
15831,50,0.7692
15832,28,0.7692
15837,40,0.7692
15910,22,0.5385
15931,53,0.9231
15981,14,0.5385
16000,19,0.6923
16009,26,0.6154
16038,101,0.9231
16058,18,0.7692
16065,77,0.9231
16175,13,0.3846
16181,12,0.4615
16191,28,0.6923
16233,47,0.6923
16251,24,0.8462
16307,45,0.4615
16355,55,0.8462
16371,8,0.3846
16497,38,0.5385
16517,16,0.6154
16531,7,0.3077
16539,6,0.3077
16646,24,0.4615
16715,16,0.3846
16718,56,0.7692
16751,20,0.6154
16761,33,0.6923
16776,26,0.7692
16778,23,0.4615
16841,25,0.5385
16849,15,0.6154
16859,67,0.9231
16860,51,0.9231
16918,57,0.8462
16984,23,0.7692
17031,40,0.7692
17039,48,0.6923
17043,5,0.3077
17061,51,0.6923
17063,21,0.6154
17068,15,0.6923
17097,31,0.5385
17125,66,0.9231
17240,39,0.7692
17243,19,0.4615
17287,12,0.3846
17311,57,0.9231
17366,17,0.6154
17385,36,0.9231
17418,20,0.6154
17420,60,0.8462
17424,28,0.4615
17439,37,0.3846
17467,47,0.9231
17502,26,0.7692
17520,30,0.6923
17588,18,0.5385
17589,83,0.9231
17594,17,0.6154
17654,52,0.9231
17669,13,0.3077
17830,43,0.9231
18048,26,0.7692
